iter	Passed	Remaining
400	28145	77136
401	28235	77120
402	28314	77074
403	28394	77031
404	28478	76998
405	28548	76926
406	28621	76863
407	28700	76814
408	28780	76771
409	28861	76728
410	28942	76687
411	29022	76641
412	29100	76591
413	29177	76537
414	29260	76500
415	29336	76444
416	29412	76388
417	29494	76346
418	29569	76287
419	29640	76217
420	29714	76156
421	29785	76087
422	29863	76036
423	29937	75973
424	30013	75916
425	30084	75847
426	30156	75778
427	30229	75715
428	30306	75659
429	30381	75601
430	30453	75534
431	30528	75473
432	30600	75405
433	30682	75362
434	30754	75296
435	30828	75231
436	30902	75170
437	30976	75106
438	31047	75037
439	31119	74969
440	31190	74900
441	31270	74851
442	31342	74782
443	31412	74709
444	31491	74658
445	31566	74597
446	31637	74527
447	31719	74483
448	31793	74419
449	31866	74355
450	31937	74284
451	32015	74229
452	32085	74158
453	32159	74094
454	32242	74051
455	32328	74015
456	32411	73971
457	32490	73919
458	32572	73873
459	32644	73804
460	32725	73756
461	32806	73707
462	32880	73642
463	32956	73583
464	33028	73515
465	33105	73457
466	33178	73389
467	33252	73325
468	33325	73260
469	33399	73194
470	33475	73134
471	33554	73081
472	33628	73015
473	33702	72951
474	33774	72880
475	33849	72818
476	33917	72740
477	33995	72685
478	34067	72616
479	34148	72566
480	34228	72513
481	34303	72450
482	34378	72387
483	34449	72316
484	34518	72240
485	34588	72165
486	34662	72099
487	34739	72041
488	34815	71981
489	34887	71911
490	34964	71851
491	35035	71780
492	35109	71714
493	35198	71679
494	35271	71611
495	35344	71543
496	35418	71477
497	35494	71416
498	35570	71354
499	35646	71292
500	35722	71230
501	35795	71163
502	35867	71093
503	35940	71026
504	36011	70953
505	36088	70892
506	36161	70825
507	36236	70760
508	36305	70685
509	36383	70626
510	36455	70556
511	36530	70491
512	36601	70420
513	36678	70360
514	36754	70297
515	36826	70226
516	36902	70164
517	36974	70093
518	37045	70022
519	37121	69959
520	37199	69901
521	37269	69826
522	37340	69754
523	37408	69676
524	37487	69620
525	37560	69550
526	37630	69477
527	37703	69409
528	37778	69343
529	37847	69268
530	37919	69197
531	37989	69123
532	38060	69051
533	38134	68985
534	38203	68908
535	38277	68842
536	38347	68768
537	38421	68702
538	38491	68628
539	38558	68549
540	38628	68474
541	38708	68417
542	38791	68366
543	38867	68304
544	38939	68234
545	39013	68165
546	39084	68094
547	39160	68030
548	39236	67966
549	39308	67896
550	39382	67829
551	39453	67756
552	39523	67683
553	39592	67607
554	39663	67534
555	39734	67462
556	39818	67412
557	39890	67342
558	39965	67276
559	40041	67211
560	40114	67143
561	40192	67082
562	40269	67020
563	40346	66958
564	40417	66886
565	40490	66816
566	40562	66745
567	40640	66684
568	40709	66608
569	40785	66544
570	40862	66481
571	40943	66425
572	41022	66365
573	41100	66305
574	41178	66244
575	41254	66179
576	41325	66107
577	41397	66034
578	41468	65962
579	41540	65891
580	41612	65820
581	41683	65748
582	41761	65686
583	41833	65615
584	41904	65543
585	41976	65471
586	42054	65409
587	42134	65351
588	42207	65282
589	42283	65217
590	42353	65142
591	42424	65070
592	42492	64992
593	42563	64920
594	42634	64847
595	42705	64775
596	42783	64713
597	42858	64646
598	42929	64573
599	42997	64496
600	43066	64420
601	43162	64385
602	43240	64322
603	43312	64251
604	43384	64180
605	43461	64115
606	43533	64045
607	43603	63970
608	43684	63912
609	43758	63844
610	43833	63777
611	43909	63712
612	43981	63639
613	44054	63571
614	44130	63505
615	44201	63432
616	44278	63368
617	44355	63304
618	44437	63245
619	44517	63185
620	44591	63116
621	44667	63051
622	44741	62982
623	44817	62916
624	44888	62843
625	44958	62769
626	45026	62692
627	45100	62622
628	45182	62565
629	45253	62492
630	45326	62422
631	45401	62354
632	45473	62283
633	45555	62225
634	45627	62154
635	45698	62080
636	45778	62020
637	45857	61957
638	45936	61894
639	46006	61820
640	46082	61754
641	46154	61683
642	46233	61620
643	46306	61550
644	46379	61479
645	46449	61405
646	46520	61332
647	46591	61259
648	46680	61210
649	46752	61138
650	46829	61072
651	46901	61000
652	46977	60933
653	47048	60861
654	47124	60794
655	47194	60720
656	47273	60657
657	47346	60586
658	47419	60515
659	47490	60442
660	47563	60372
661	47638	60303
662	47713	60235
663	47785	60163
664	47857	60092
665	47933	60025
666	48007	59955
667	48082	59887
668	48152	59813
669	48227	59744
670	48294	59666
671	48366	59594
672	48440	59524
673	48512	59453
674	48589	59387
675	48660	59313
676	48733	59243
677	48808	59174
678	48878	59100
679	48954	59033
680	49027	58962
681	49102	58894
682	49174	58822
683	49248	58752
684	49318	58678
685	49404	58623
686	49484	58560
687	49569	58503
688	49653	58446
689	49731	58380
690	49806	58312
691	49880	58242
692	49962	58180
693	50042	58118
694	50118	58050
695	50196	57985
696	50273	57918
697	50349	57851
698	50426	57784
699	50499	57713
700	50578	57649
701	50653	57580
702	50737	57522
703	50861	57507
704	50957	57462
705	51046	57408
706	51142	57362
707	51225	57302
708	51302	57235
709	51390	57181
710	51480	57127
711	51576	57081
712	51669	57032
713	51761	56980
714	51855	56932
715	51948	56881
716	52039	56829
717	52132	56779
718	52225	56729
719	52314	56674
720	52403	56619
721	52496	56567
722	52587	56515
723	52676	56459
724	52766	56405
725	52861	56356
726	52949	56299
727	53038	56244
728	53127	56188
729	53222	56138
730	53312	56084
731	53414	56041
732	53507	55989
733	53597	55934
734	53678	55868
735	53757	55802
736	53840	55739
737	53915	55668
738	53990	55597
739	54070	55531
740	54139	55455
741	54208	55377
742	54291	55314
743	54372	55249
744	54448	55179
745	54526	55111
746	54597	55035
